City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Moron,AR,-34.6534,-58.6198,79.02,35,0,7.94,clear sky
149,Manzhouli,CN,49.6,117.4333,-20.42,99,53,5.03,broken clouds
150,Bethel,US,41.3712,-73.414,29.68,67,100,8.05,overcast clouds
151,Podor,MR,16.6527,-14.9587,74.75,15,96,10.94,overcast clouds
152,Cabra,ES,37.4725,-4.4421,57.13,76,100,4.94,overcast clouds
153,Aklavik,CA,68.2191,-135.0107,-18.33,96,100,6.35,light snow
154,Vardo,NO,70.3705,31.1107,22.98,100,100,29.93,snow
155,Ankazoabo,MG,-22.2833,44.5167,75.38,69,4,2.98,clear sky
156,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,74,8,5.12,clear sky
157,Fukumitsu,JP,36.55,136.8667,40.21,58,100,8.99,overcast clouds
158,Cayenne,GF,4.9333,-52.3333,80.1,86,75,2.3,broken clouds
159,Belaya Gora,RU,68.5333,146.4167,-21.06,96,92,5.61,overcast clouds
160,Chernyshevskiy,RU,63.0128,112.4714,-24.65,100,72,1.68,broken clouds
161,Marzuq,YE,14.4,46.4667,57.74,47,3,3.44,clear sky
162,Sistranda,NO,63.7256,8.834,35.91,68,100,23.67,overcast clouds
163,Georgetown,MY,5.4112,100.3354,79.9,86,20,6.91,thunderstorm
164,Hirara,JP,24.8,125.2833,64.67,94,75,17.27,broken clouds
165,Sinaloa,MX,25.0,-107.5,92.1,12,100,3.0,overcast clouds
166,Murray Bridge,AU,-35.1167,139.2667,76.48,66,1,7.85,clear sky
167,Haines Junction,CA,60.7522,-137.5108,19.67,93,100,0.16,overcast clouds
168,Zhigansk,RU,66.7697,123.3711,-37.1,100,55,1.68,broken clouds
169,Port Macquarie,AU,-31.4333,152.9167,68.9,69,63,2.77,broken clouds
170,Panzhihua,CN,26.5851,101.7128,43.81,63,0,1.39,clear sky
171,Mount Gambier,AU,-37.8333,140.7667,64.31,77,75,12.66,broken clouds
172,Tiksi,RU,71.6872,128.8694,-12.62,93,10,11.86,clear sky
