City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Bluff,NZ,59.81,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
76,Ribeira Grande,PT,58.35,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
77,Lebu,CL,63.73,broken clouds,-37.6167,-73.65,Hostal Las Lilas
79,Port Elizabeth,ZA,69.48,broken clouds,-33.918,25.5701,39 On Nile Guest House
84,Kananga,CD,68.23,overcast clouds,-5.8958,22.4178,Guest House Wood Land
86,East London,ZA,72.91,broken clouds,-33.0153,27.9116,Tu Casa
87,Mataura,NZ,59.49,scattered clouds,-46.1927,168.8643,Ellie's Villa
88,Flinders,AU,69.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
92,Hambantota,LK,73.74,scattered clouds,6.1241,81.1185,Bungalow 63
94,Port Blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
95,Luxor,EG,59.25,clear sky,25.6989,32.6421,Iberotel Luxor
96,Tuatapere,NZ,59.83,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
98,Kruisfontein,ZA,65.32,few clouds,-34.0033,24.7314,Oyster Bay House Rental
100,Rio Do Sul,BR,71.64,overcast clouds,-27.2142,-49.6431,Hotel | Restaurante Aliança Express
101,Clearwater,US,69.76,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
107,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
111,Hermanus,ZA,65.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
114,Kingman,US,73.65,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
116,Nizwa,OM,61.63,clear sky,22.9333,57.5333,Orient Apartments
118,Boyolangu,ID,74.35,overcast clouds,-8.1181,111.8935,Yos ega cv
119,Pyay,MM,61.77,broken clouds,18.8167,95.2167,Shwe Pyi Thar
122,Antofagasta,CL,73.22,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
126,Launceston,AU,64.15,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
131,Chuy,UY,66.72,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
132,Sur,OM,71.55,clear sky,22.5667,59.5289,Sur Plaza Hotel
134,Alexandria,EG,56.44,clear sky,31.2156,29.9553,Royal Crown Hotel
138,Tocopilla,CL,72.0,overcast clouds,-22.092,-70.1979,Hotel Galvarino
140,Kawalu,ID,72.07,overcast clouds,-7.3817,108.2082,West Jontor
146,Nouadhibou,MR,65.17,overcast clouds,20.931,-17.0347,El Medina
151,Podor,MR,74.75,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
152,Cabra,ES,57.13,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
156,Vila Franca Do Campo,PT,60.19,clear sky,37.7167,-25.4333,Pestana Bahia Praia
