City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Hofn,IS,2022-02-13 04:45:35,64.2539,-15.2082,21.83,70,53,18.1
126,Mastic Beach,US,2022-02-13 04:45:35,40.7668,-72.8521,45.01,59,97,4.0
127,Namibe,AO,2022-02-13 04:45:36,-15.1961,12.1522,73.33,79,100,0.72
128,Gryfino,PL,2022-02-13 04:45:36,53.2524,14.4883,30.94,100,89,12.28
129,Dilijan,AM,2022-02-13 04:45:36,40.741,44.8636,27.54,61,11,7.61
130,Saint-Joseph,RE,2022-02-13 04:45:37,-21.3667,55.6167,80.98,76,10,10.96
131,Iralaya,HN,2022-02-13 04:45:37,15.0,-83.2333,76.71,82,11,7.7
132,Santa Fe Do Sul,BR,2022-02-13 04:44:42,-20.2111,-50.9258,71.46,88,76,5.82
133,Ribeira Grande,PT,2022-02-13 04:45:38,38.5167,-28.7,61.99,93,100,14.99
134,Muzhi,RU,2022-02-13 04:45:38,65.3667,64.6667,-12.64,100,88,5.17
135,Kahta,TR,2022-02-13 04:45:39,37.7855,38.6237,40.37,49,77,2.68
136,Mustasaari,FI,2022-02-13 04:45:39,63.1142,21.6822,31.95,93,100,11.5
137,Artyom,AZ,2022-02-13 04:45:40,40.4723,50.333,41.14,81,63,17.09
138,Arraial Do Cabo,BR,2022-02-13 04:41:13,-22.9661,-42.0278,74.23,84,48,4.23
139,Aranos,NA,2022-02-13 04:45:41,-24.1333,19.1167,70.88,65,100,10.0
140,Dongning,CN,2022-02-13 04:45:41,44.0622,131.1207,17.85,59,5,4.0
141,Fort Dodge,US,2022-02-13 04:45:41,42.4975,-94.168,17.74,73,100,4.61
142,Kingisepp,RU,2022-02-13 04:45:42,59.3733,28.6134,31.37,97,100,9.46
143,Susaki,JP,2022-02-13 04:45:42,33.3667,133.2833,48.27,91,100,7.2
144,Suwannaphum,TH,2022-02-13 04:45:43,15.6035,103.8021,88.03,46,83,5.46
145,Makakilo City,US,2022-02-13 04:45:44,21.3469,-158.0858,75.56,61,0,11.5
146,Vanino,RU,2022-02-13 04:45:44,49.0869,140.2543,23.23,93,100,9.22
147,Aksarka,RU,2022-02-13 04:45:44,66.5606,67.7975,-3.71,97,100,8.12
148,Cape Town,ZA,2022-02-13 04:42:36,-33.9258,18.4232,68.27,82,0,12.66
149,Toumodi,CI,2022-02-13 04:44:02,6.5613,-5.0158,77.5,82,99,3.36
150,Dingle,PH,2022-02-13 04:45:45,10.9995,122.6711,86.11,62,98,13.82
151,Beloha,MG,2022-02-13 04:45:46,-25.1667,45.05,78.01,71,0,15.03
152,Sambava,MG,2022-02-13 04:45:46,-14.2667,50.1667,76.89,81,12,5.5
